Location,Crop Type,Season,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (kg/ha),Phosphorus (kg/ha),Potassium (kg/ha),Yield (tonnes/ha)
Assam,Maize,Kharif     ,1468.92,22.41,5.6,77.65,50.79,48.99,0.615652174
Assam,Potato,Whole Year ,1468.92,22.41,7.37,71.99,52.54,56.96,7.561304348
Assam,Rice,Autumn     ,1468.92,22.41,6.53,86.76,52.66,48.45,0.780869565
Assam,Rice,Summer     ,1468.92,22.41,5.57,74.76,53.43,55.71,1.060434783
Assam,Rice,Winter     ,1468.92,22.41,6.77,68.97,48.34,55.42,0.941304348
Assam,Sugarcane,Kharif     ,1468.92,22.41,6.17,89.57,51.37,57.17,41.89695652
Assam,Wheat,Rabi       ,1468.92,22.41,6.24,76.0,49.61,61.55,1.25952381
Karnataka,Maize,Kharif     ,894.16,23.55,6.52,76.02,51.19,54.08,2.687777778
Karnataka,Maize,Rabi       ,894.16,23.55,6.58,75.22,42.04,54.3,1.98
Karnataka,Maize,Summer     ,894.16,23.55,6.57,73.61,43.19,58.0,2.165714286
Karnataka,Rice,Kharif     ,894.16,23.55,7.0,78.82,54.71,49.77,2.2335
Karnataka,Rice,Rabi       ,894.16,23.55,6.19,83.47,46.43,52.88,2.073846154
Karnataka,Rice,Summer     ,894.16,23.55,6.7,71.45,42.67,53.64,2.829444444
Karnataka,Sugarcane,Whole Year ,894.16,23.55,6.47,68.27,49.5,59.36,91.74736842
Karnataka,Wheat,Rabi       ,894.16,23.55,6.86,79.91,43.06,55.64,0.548333333
Meghalaya,Maize,Kharif     ,1954.46,17.16,6.08,71.23,44.46,51.22,1.444285714
Meghalaya,Potato,Whole Year ,1954.46,17.16,6.82,72.7,47.06,46.98,8.641428571
Meghalaya,Rice,Kharif     ,1954.46,17.16,6.2,83.2,42.75,48.66,1.378571429
Meghalaya,Sugarcane,Whole Year ,1954.46,17.16,7.2,86.18,41.89,59.75,2.352
Meghalaya,Wheat,Rabi       ,1954.46,17.16,6.28,88.67,48.52,51.93,1.385
West Bengal,Maize,Whole Year ,1564.19,25.85,5.6,77.35,47.25,46.94,2.658461538
West Bengal,Potato,Whole Year ,1564.19,25.85,7.34,78.19,51.72,55.45,18.23722222
West Bengal,Rice,Autumn     ,1564.19,25.85,6.75,85.02,51.08,62.38,1.837222222
West Bengal,Rice,Summer     ,1564.19,25.85,6.32,81.63,43.99,50.73,2.843888889
West Bengal,Rice,Winter     ,1564.19,25.85,6.72,71.23,43.57,63.04,1.985555556
West Bengal,Sugarcane,Whole Year ,1564.19,25.85,6.78,75.02,43.02,54.91,67.83625
West Bengal,Wheat,Rabi       ,1564.19,25.85,7.36,68.77,49.59,53.79,1.886666667
Puducherry,Rice,Kharif     ,1124.51,28.33,6.37,80.03,41.39,60.18,2.46
Puducherry,Rice,Rabi       ,1124.51,28.33,7.23,81.9,54.76,47.37,2.555
Puducherry,Rice,Summer     ,1124.51,28.33,7.12,75.56,54.48,48.18,2.55
Puducherry,Sugarcane,Kharif     ,1124.51,28.33,6.92,79.54,43.19,47.83,82.595
Assam,Maize,Kharif     ,1701.15,22.98,5.99,72.04,52.63,61.35,0.608695652
Assam,Potato,Whole Year ,1701.15,22.98,5.8,67.29,44.35,55.92,7.230434783
Assam,Rice,Autumn     ,1701.15,22.98,6.14,77.66,50.76,47.53,1.055652174
Assam,Rice,Summer     ,1701.15,22.98,6.71,66.84,49.17,53.43,1.685217391
Assam,Rice,Winter     ,1701.15,22.98,5.61,66.6,52.75,56.86,1.395652174
Assam,Sugarcane,Whole Year ,1701.15,22.98,7.06,80.36,43.65,56.77,39.89304348
Assam,Wheat,Rabi       ,1701.15,22.98,7.31,69.05,45.26,52.17,0.999545455
Goa,Rice,Kharif     ,2059.15,27.35,6.6,75.61,49.89,54.28,2.54
Goa,Rice,Rabi       ,2059.15,27.35,6.94,78.54,54.7,48.75,3.04
Goa,Sugarcane,Whole Year ,2059.15,27.35,7.41,88.47,48.06,49.39,48.48
Karnataka,Maize,Kharif     ,1185.08,23.73,6.87,89.76,40.94,52.44,3.366
Karnataka,Maize,Rabi       ,1185.08,23.73,5.76,88.18,47.78,54.62,1.97952381
Karnataka,Maize,Summer     ,1185.08,23.73,6.68,70.4,50.07,58.91,2.241904762
Karnataka,Potato,Kharif     ,1185.08,23.73,5.65,78.31,44.72,56.6,12.37333333
Karnataka,Potato,Rabi       ,1185.08,23.73,6.87,80.27,53.44,52.89,18.90714286
Karnataka,Potato,Summer     ,1185.08,23.73,6.57,76.85,44.54,54.63,17.6
Karnataka,Potato,Whole Year ,1185.08,23.73,5.54,80.93,45.34,49.39,14.59
Karnataka,Rice,Kharif     ,1185.08,23.73,7.1,72.94,48.93,51.91,2.310740741
Karnataka,Rice,Rabi       ,1185.08,23.73,7.01,77.27,48.68,56.48,2.054285714
Karnataka,Rice,Summer     ,1185.08,23.73,6.19,81.79,53.01,59.46,2.99375
Karnataka,Wheat,Rabi       ,1185.08,23.73,5.55,72.06,50.32,62.07,0.848823529
Kerala,Rice,Autumn     ,2177.34,27.03,7.41,82.43,54.85,59.34,1.856923077
Kerala,Rice,Summer     ,2177.34,27.03,5.91,66.73,42.1,62.27,2.116153846
Kerala,Rice,Winter     ,2177.34,27.03,5.63,86.66,49.66,47.69,1.937142857
Kerala,Sugarcane,Whole Year ,2177.34,27.03,6.96,86.28,48.2,60.08,64.83
Meghalaya,Maize,Kharif     ,2370.96,17.84,6.69,87.39,43.11,51.75,1.457142857
Meghalaya,Potato,Whole Year ,2370.96,17.84,6.29,75.91,50.06,47.42,7.738571429
Meghalaya,Rice,Kharif     ,2370.96,17.84,5.63,82.94,44.68,47.37,1.51
Meghalaya,Sugarcane,Whole Year ,2370.96,17.84,7.11,82.04,43.29,53.57,2.328
Meghalaya,Wheat,Rabi       ,2370.96,17.84,7.08,77.53,51.96,50.88,1.605
West Bengal,Maize,Kharif     ,1537.71,25.82,7.13,78.69,43.93,51.14,2.634
West Bengal,Potato,Whole Year ,1537.71,25.82,6.4,75.59,46.85,57.32,18.95944444
West Bengal,Rice,Autumn     ,1537.71,25.82,6.8,75.41,54.51,56.93,1.751111111
West Bengal,Rice,Summer     ,1537.71,25.82,6.14,74.68,45.48,58.52,3.22
West Bengal,Rice,Winter     ,1537.71,25.82,7.11,84.6,43.4,55.57,1.781666667
West Bengal,Sugarcane,Whole Year ,1537.71,25.82,5.63,68.31,44.72,52.66,75.314375
West Bengal,Wheat,Rabi       ,1537.71,25.82,6.4,88.11,52.97,54.97,1.870555556
Assam,Maize,Kharif     ,1622.42,23.26,5.57,75.65,50.86,48.96,0.613913043
Assam,Potato,Whole Year ,1622.42,23.26,6.61,86.61,42.42,55.82,8.062608696
Assam,Rice,Autumn     ,1622.42,23.26,5.91,64.7,43.49,63.65,1.094782609
Assam,Rice,Summer     ,1622.42,23.26,6.26,75.52,48.11,60.92,1.990434783
Assam,Rice,Winter     ,1622.42,23.26,6.22,74.32,51.57,47.23,1.501304348
Assam,Sugarcane,Whole Year ,1622.42,23.26,6.98,77.89,49.57,47.65,40.43478261
Assam,Wheat,Rabi       ,1622.42,23.26,6.55,76.17,52.01,55.98,1.256818182
Goa,Rice,Kharif     ,1980.88,27.09,6.67,71.73,45.58,49.21,2.38
Goa,Rice,Rabi       ,1980.88,27.09,6.01,72.13,48.33,51.35,2.69
Goa,Sugarcane,Whole Year ,1980.88,27.09,7.21,78.49,48.31,56.77,51.27
Kerala,Rice,Autumn     ,1758.79,26.23,5.62,71.45,49.54,58.34,2.081538462
Kerala,Rice,Summer     ,1758.79,26.23,5.99,75.8,44.05,49.06,2.292857143
Kerala,Rice,Winter     ,1758.79,26.23,7.3,68.9,54.43,49.5,2.097142857
Kerala,Sugarcane,Whole Year ,1758.79,26.23,6.53,79.71,53.95,55.86,88.2225
Meghalaya,Maize,Kharif     ,2074.56,18.37,5.94,77.77,47.82,56.93,1.448571429
Meghalaya,Potato,Whole Year ,2074.56,18.37,6.21,84.74,41.98,61.72,6.858571429
Meghalaya,Rice,Kharif     ,2074.56,18.37,7.41,82.39,42.06,58.9,1.605714286
Meghalaya,Rice,Rabi       ,2074.56,18.37,6.07,80.6,48.63,51.84,1.755714286
Meghalaya,Sugarcane,Whole Year ,2074.56,18.37,7.13,72.15,50.29,57.85,2.372
Puducherry,Rice,Kharif     ,923.63,27.74,6.42,87.26,47.38,48.57,2.61
Puducherry,Sugarcane,Whole Year ,923.63,27.74,7.04,68.93,48.73,62.05,83.0
West Bengal,Maize,Kharif     ,1737.63,25.79,6.3,87.03,50.87,47.02,1.941538462
West Bengal,Potato,Summer     ,1737.63,25.79,6.11,79.43,50.94,59.82,13.4
West Bengal,Potato,Winter     ,1737.63,25.79,6.1,83.97,49.56,52.64,20.56777778
West Bengal,Rice,Autumn     ,1737.63,25.79,6.13,82.18,46.25,48.95,1.868888889
West Bengal,Rice,Summer     ,1737.63,25.79,6.59,85.11,49.33,48.83,2.897222222
West Bengal,Rice,Winter     ,1737.63,25.79,7.47,85.59,54.94,61.99,1.906666667
West Bengal,Sugarcane,Whole Year ,1737.63,25.79,5.56,89.03,51.62,52.5,78.571875
West Bengal,Wheat,Rabi       ,1737.63,25.79,6.43,69.08,44.84,51.35,2.096666667
Andhra Pradesh,Maize,Kharif     ,1070.25,27.74,6.09,88.24,41.75,47.79,2.564545455
Andhra Pradesh,Maize,Rabi       ,1070.25,27.74,6.14,78.95,53.69,59.63,5.019545455
Andhra Pradesh,Potato,Whole Year ,1070.25,27.74,6.05,81.58,47.67,61.46,6.14375
Andhra Pradesh,Rice,Kharif     ,1070.25,27.74,6.68,72.42,45.65,58.18,2.7
Andhra Pradesh,Rice,Rabi       ,1070.25,27.74,6.9,83.74,50.79,51.52,2.939090909
Andhra Pradesh,Sugarcane,Whole Year ,1070.25,27.74,5.75,70.03,52.62,56.34,73.8955
Andhra Pradesh,Wheat,Rabi       ,1070.25,27.74,6.87,77.18,55.13,58.47,0.581818182
Assam,Maize,Kharif     ,1958.5,22.37,5.72,81.31,46.45,61.28,0.605652174
Assam,Potato,Whole Year ,1958.5,22.37,5.63,80.48,44.92,56.0,7.459565217
Assam,Rice,Autumn     ,1958.5,22.37,6.09,81.1,49.13,58.87,1.197826087
Assam,Rice,Summer     ,1958.5,22.37,5.8,69.3,48.24,62.28,1.825217391
Assam,Rice,Winter     ,1958.5,22.37,6.65,68.83,43.93,57.45,1.581304348
Assam,Sugarcane,Whole Year ,1958.5,22.37,7.44,74.98,49.31,59.85,36.57217391
Assam,Wheat,Rabi       ,1958.5,22.37,7.04,79.02,50.26,47.33,1.175909091
Goa,Rice,Kharif     ,1919.04,26.95,7.4,80.54,52.24,59.83,2.36
Goa,Rice,Rabi       ,1919.04,26.95,5.8,74.98,49.38,54.79,2.81
Goa,Sugarcane,Whole Year ,1919.04,26.95,6.72,70.15,43.52,54.81,58.2
Karnataka,Maize,Kharif     ,1000.55,23.21,6.85,80.62,45.44,62.97,3.1712
Karnataka,Maize,Rabi       ,1000.55,23.21,5.76,67.76,42.47,59.85,2.397368421
Karnataka,Maize,Summer     ,1000.55,23.21,6.56,86.41,43.41,59.31,2.774761905
Karnataka,Potato,Whole Year ,1000.55,23.21,6.39,67.92,42.98,59.5,11.70933333
Karnataka,Rice,Kharif     ,1000.55,23.21,6.88,71.51,53.28,47.58,2.357407407
Karnataka,Rice,Rabi       ,1000.55,23.21,6.49,82.82,47.23,49.61,2.064615385
Karnataka,Rice,Summer     ,1000.55,23.21,6.3,64.93,49.48,59.87,2.751304348
Karnataka,Sugarcane,Whole Year ,1000.55,23.21,6.49,85.91,52.58,61.24,98.80038462
Karnataka,Wheat,Rabi       ,1000.55,23.21,5.51,71.1,48.83,59.84,0.93375
Kerala,Rice,Autumn     ,1397.09,26.7,6.35,78.81,44.31,58.59,1.938461538
Kerala,Rice,Summer     ,1397.09,26.7,7.44,70.44,43.15,54.19,2.23
Kerala,Rice,Winter     ,1397.09,26.7,5.63,81.52,50.52,62.39,2.042857143
Kerala,Sugarcane,Whole Year ,1397.09,26.7,5.85,84.28,43.64,59.76,90.19
Meghalaya,Maize,Kharif     ,2652.89,17.52,6.41,72.09,46.97,52.13,1.437142857
Meghalaya,Potato,Whole Year ,2652.89,17.52,6.56,82.2,41.05,54.91,6.954285714
Meghalaya,Rice,Kharif     ,2652.89,17.52,6.19,75.4,53.34,47.62,1.681428571
Meghalaya,Rice,Rabi       ,2652.89,17.52,6.6,80.88,53.76,57.85,1.744285714
Meghalaya,Sugarcane,Whole Year ,2652.89,17.52,6.78,68.01,41.12,53.28,2.288
Meghalaya,Wheat,Rabi       ,2652.89,17.52,6.47,87.09,51.87,51.29,1.395
Puducherry,Rice,Kharif     ,962.02,27.95,6.72,73.14,41.07,63.57,2.605
Puducherry,Sugarcane,Whole Year ,962.02,27.95,6.33,70.51,44.34,55.16,81.17
West Bengal,Maize,Kharif     ,1422.94,25.43,6.72,77.53,48.64,55.95,2.568571429
West Bengal,Potato,Whole Year ,1422.94,25.43,5.59,85.22,42.84,54.48,22.39388889
West Bengal,Rice,Autumn     ,1422.94,25.43,6.08,68.92,53.19,52.01,1.648333333
West Bengal,Rice,Summer     ,1422.94,25.43,7.19,84.39,53.11,63.44,3.021111111
West Bengal,Rice,Winter     ,1422.94,25.43,5.91,86.22,52.19,50.88,1.876111111
West Bengal,Sugarcane,Whole Year ,1422.94,25.43,6.76,76.33,44.3,56.44,67.08461538
West Bengal,Wheat,Rabi       ,1422.94,25.43,5.98,84.64,51.21,56.91,2.330555556
Andhra Pradesh,Maize,Kharif     ,910.13,28.08,5.7,78.32,44.74,47.49,2.801818182
Andhra Pradesh,Maize,Rabi       ,910.13,28.08,7.31,76.11,49.67,57.12,5.592857143
Andhra Pradesh,Potato,Whole Year ,910.13,28.08,5.69,64.48,47.55,53.65,5.85
Andhra Pradesh,Rice,Kharif     ,910.13,28.08,6.79,77.38,47.73,57.68,2.627272727
Andhra Pradesh,Rice,Rabi       ,910.13,28.08,7.12,68.62,45.88,60.22,3.025909091
Andhra Pradesh,Sugarcane,Whole Year ,910.13,28.08,6.24,87.71,51.91,47.34,84.989
Andhra Pradesh,Wheat,Rabi       ,910.13,28.08,6.53,87.54,42.04,59.05,0.6275
